river,season,plot,log_parasite_flux,log_host_flux,log_parasite_biomass,log_host_biomass
Passaic,fall,1,0.157461283,0.476813697,-3.177170819,2.347655273
Passaic,fall,2,0.076301471,0.725290035,-1.338163403,2.827295668
Passaic,fall,3,0.345878381,1.079042105,-1.577792121,2.822915623
Passaic,spring,1,0.262196633,1.22019293,-2.950211283,2.810353732
Passaic,spring,2,0.003750804,0.891282476,-1.571026537,2.767956354
Passaic,spring,3,0.023379167,0.26909665,-3.123514417,2.246798532
Passaic,summer,1,0.544991605,1.239517579,-2.905729653,2.3498921
Passaic,summer,2,0.329187737,1.936514705,-1.213412362,3.437129484
Passaic,summer,3,0.631654041,2.791826818,-1.062085213,3.770948151
Passaic,winter,1,-0.569537445,0.022875396,-2.324685038,2.847576391
Passaic,winter,2,-0.745628704,-0.091272937,-2.91860468,3.074844808
Passaic,winter,3,-0.393446186,-1.040068219,-2.047729108,1.386387479
Raritan,fall,1,-0.228998908,-0.826540887,-2.249758352,1.324462076
Raritan,fall,2,0.21636927,0.443027649,-1.473339101,2.267094139
Raritan,fall,3,0.933296291,1.841474259,-0.215306147,2.732267408
Raritan,spring,1,-0.377651919,-0.393662856,-3.179623369,1.921475258
Raritan,spring,2,-0.108806606,-0.051357673,-2.038029859,1.824588314
Raritan,spring,3,1.157732632,2.620872073,-0.844781551,3.127438503
Raritan,summer,2,0.395854427,0.939632872,-2.322694328,2.260202631
Raritan,summer,3,1.103974695,2.499769596,-1.087025968,3.01666777
Raritan,winter,1,-0.620689967,-1.51387576,-2.039279016,1.074054173
Raritan,winter,2,-0.599500668,-1.229827092,-2.331571961,1.532033438
Raritan,winter,3,0.193101639,-0.217053207,-2.128100256,1.468849286
Mullica,Fall,MB,-0.668469605,1.479913947,-2.161323461,2.501070986
Mullica,Fall,SK,-0.842142924,1.047937189,-2.543549576,2.173646161
Mullica,Spring,MB,-0.792946043,0.80802809,-1.82577955,1.871505752
Mullica,Spring,SK,-0.966188357,0.27204189,-2.748276115,1.550392617
Mullica,Summer,MB,-0.520775363,1.30595976,-2.359545282,2.151116394
Mullica,Summer,SK,-0.841346367,0.809425081,-2.811917996,2.015910612
Mullica,Winter,MB,-0.924840744,0.447807201,-2.571393403,1.66254494
Mullica,Winter,SK,-1.454747209,-0.31173874,-3.086790547,1.356859209
